data,obito,tmin_3h,tmin,temp,tmax_3h,tmax,amplitude_t_3h,amplitude_t,urmin,umidade,urmax,prec,pressao,ventodir,ventovel
2003-01-29,8,24.0,19.7,26.47,30.6,30.8,6.600000000000001,11.100000000000001,55.0,68.0,77.0,0.0,1015.23,10.67,2.73
2003-01-30,8,23.6,19.4,27.67,33.4,35.2,9.799999999999997,15.800000000000004,52.0,65.67,80.0,0.0,1013.67,13.67,1.2
2003-02-02,6,23.6,23.0,28.3,34.0,35.4,10.399999999999999,12.399999999999999,55.0,72.67,93.0,37.0,1016.0,12.33,2.23
2003-02-03,10,26.0,24.4,29.2,34.8,35.2,8.799999999999997,10.800000000000004,49.0,69.33,83.0,0.7,1015.57,17.0,2.77
2003-02-04,10,28.8,24.8,31.8,37.4,37.8,8.599999999999998,12.999999999999996,39.0,62.33,75.0,0.0,1012.8,15.0,1.57
2003-02-05,9,26.8,24.9,29.73,34.6,35.6,7.800000000000001,10.700000000000003,53.0,64.33,71.0,1.0,1010.87,27.0,1.87
2003-02-06,10,28.0,24.6,29.53,32.6,33.2,4.600000000000001,8.600000000000001,61.0,65.0,68.0,0.0,1008.73,25.67,2.07
2003-02-07,10,26.2,25.6,29.77,33.6,34.6,7.400000000000002,9.0,59.0,73.67,90.0,5.6,1010.63,27.33,1.53
2003-02-08,4,24.2,24.1,25.97,28.6,31.2,4.400000000000002,7.099999999999998,78.0,88.0,96.0,27.1,1013.8,19.67,1.03
2003-02-09,11,24.6,23.6,25.4,25.8,30.4,1.1999999999999993,6.799999999999997,88.0,90.67,93.0,16.0,1013.83,13.67,0.83
2003-02-10,9,23.0,22.8,25.83,30.3,31.0,7.300000000000001,8.2,62.0,83.0,96.0,14.6,1011.63,7.67,0.67
2003-02-11,9,25.6,23.6,26.93,29.4,30.1,3.799999999999997,6.5,61.0,78.67,89.0,0.0,1008.9,16.67,1.2
2003-02-12,7,27.1,24.6,28.23,30.4,31.4,3.299999999999997,6.799999999999997,56.0,67.67,74.0,0.0,1007.67,33.33,2.9
2003-02-13,4,25.0,21.6,25.73,26.6,30.0,1.6000000000000014,8.399999999999999,52.0,67.67,79.0,0.6,1013.1,4.67,1.87
2003-02-14,6,22.4,19.3,23.93,26.6,28.4,4.200000000000003,9.099999999999998,53.0,74.67,86.0,0.0,1010.77,19.67,1.2
2003-02-15,3,23.2,18.5,26.07,31.4,32.2,8.2,13.700000000000003,41.0,64.33,79.0,0.0,1010.6,27.33,1.0
2003-02-16,16,21.4,22.3,24.83,27.1,29.1,5.700000000000003,6.800000000000001,66.0,76.67,93.0,15.1,1007.83,28.67,1.17
2003-02-17,6,20.0,18.9,23.0,26.2,27.4,6.199999999999999,8.5,50.0,74.33,87.0,1.1,1007.67,31.67,2.4
2003-02-18,8,21.7,18.0,24.6,28.5,29.2,6.800000000000001,11.2,37.0,52.0,66.0,0.0,1011.37,28.67,2.57
2003-02-19,3,21.6,18.1,23.13,24.4,27.3,2.799999999999997,9.2,60.0,73.67,97.0,26.0,1009.9,6.0,1.7
2003-02-20,6,21.0,20.6,21.7,22.2,22.8,1.1999999999999993,2.1999999999999993,87.0,94.0,98.0,40.0,1012.43,12.0,1.7
2003-02-21,4,19.4,18.9,21.5,25.6,25.9,6.200000000000003,7.0,57.0,75.67,92.0,0.3,1018.47,25.67,0.83
2003-02-22,3,20.2,16.4,21.9,23.5,24.6,3.3000000000000007,8.200000000000003,62.0,65.33,68.0,0.0,1020.17,16.67,1.0
2003-02-23,7,21.8,20.0,25.47,31.4,31.9,9.599999999999998,11.899999999999999,63.0,76.0,83.0,0.0,1020.17,10.67,1.2
2003-02-24,4,25.2,23.0,27.17,30.8,31.0,5.600000000000001,8.0,71.0,84.0,92.0,3.4,1017.07,4.67,0.33
2003-02-25,8,23.2,22.6,26.4,30.2,31.8,7.0,9.2,68.0,83.0,96.0,11.2,1013.83,18.33,2.03
2003-02-26,3,26.4,22.1,28.67,33.2,33.4,6.800000000000004,11.299999999999997,58.0,75.0,86.0,0.0,1013.53,16.67,1.7
2003-02-27,6,26.0,22.0,29.33,35.0,35.8,9.0,13.799999999999997,56.0,69.33,77.0,0.0,1014.4,3.0,0.7
2003-02-28,7,27.0,23.6,29.47,32.0,33.2,5.0,9.600000000000001,61.0,72.0,78.0,0.0,1014.27,15.0,1.17
2003-12-01,9,23.2,21.2,25.2,28.2,29.3,5.0,8.100000000000001,64.0,72.33,77.0,0.3,1008.47,19.67,1.87
2003-12-02,4,22.6,18.6,25.93,30.8,31.3,8.2,12.7,54.0,66.33,78.0,0.0,1009.73,13.67,1.7
2003-12-03,4,22.5,20.3,24.9,27.7,28.0,5.199999999999999,7.699999999999999,57.0,71.33,80.0,0.0,1011.2,12.33,1.53
2003-12-04,8,23.0,20.5,23.33,23.8,26.0,0.8000000000000007,5.5,73.0,77.33,83.0,14.1,1010.67,14.0,2.6
2003-12-05,3,23.0,21.4,25.67,29.2,29.6,6.199999999999999,8.200000000000003,47.0,70.0,89.0,1.5,1005.97,24.33,3.07
2003-12-06,2,19.7,15.6,23.4,25.4,26.0,5.699999999999999,10.4,37.0,41.67,49.0,0.0,1012.8,25.67,2.07
2003-12-07,5,19.8,14.5,23.87,30.6,31.0,10.8,16.5,33.0,50.0,59.0,0.0,1014.53,19.67,1.2
2003-12-08,6,23.1,18.4,25.97,28.5,31.4,5.399999999999999,13.0,44.0,53.67,59.0,0.0,1008.73,10.67,1.9
2003-12-09,10,18.2,16.6,19.97,22.8,23.8,4.600000000000001,7.199999999999999,41.0,67.0,96.0,31.099999999999998,1006.6,23.0,5.8
2003-12-10,4,20.0,12.8,23.63,28.6,29.1,8.600000000000001,16.3,40.0,46.0,51.0,0.0,1013.67,12.33,1.2
2003-12-11,4,19.4,20.4,22.67,26.6,27.0,7.200000000000003,6.600000000000001,63.0,78.67,96.0,45.0,1009.83,19.67,0.83
2003-12-12,6,18.6,18.6,21.27,24.8,25.0,6.199999999999999,6.399999999999999,45.0,70.0,97.0,15.700000000000001,1013.83,10.67,1.53
2003-12-13,8,18.9,15.8,21.23,24.0,24.8,5.100000000000001,9.0,65.0,70.0,73.0,0.0,1015.17,13.67,1.37
2003-12-14,5,21.0,20.0,23.17,26.2,28.6,5.199999999999999,8.600000000000001,77.0,83.0,87.0,0.3,1011.83,9.0,0.83
2003-12-15,10,21.0,21.0,21.83,22.9,22.4,1.8999999999999986,1.3999999999999986,95.0,95.33,96.0,55.0,1009.8,9.0,1.7
2003-12-16,6,20.4,19.7,20.93,21.6,22.2,1.2000000000000028,2.5,55.0,79.67,95.0,6.3,1012.7,18.33,2.4
2003-12-17,5,18.0,10.0,20.17,23.7,23.9,5.699999999999999,13.899999999999999,46.0,55.67,64.0,0.0,1022.67,13.67,1.37
2003-12-18,5,17.7,15.4,22.43,27.0,28.0,9.3,12.6,55.0,58.67,62.0,0.0,1022.77,9.0,2.4
2003-12-19,12,21.2,18.2,25.63,31.0,31.4,9.8,13.2,49.0,62.0,75.0,0.0,1019.5,4.67,0.87
2003-12-20,9,23.4,22.2,24.37,25.7,29.0,2.3000000000000007,6.800000000000001,79.0,82.33,85.0,1.0,1016.37,27.0,1.53
2003-12-21,7,21.2,20.8,24.6,29.5,30.5,8.3,9.7,64.0,81.67,95.0,9.0,1010.57,16.67,1.2
2003-12-22,3,23.0,22.1,24.57,25.4,27.3,2.3999999999999986,5.199999999999999,76.0,82.67,93.0,2.6,1006.23,18.33,2.37
